stream|stream_partition|ts|kafka_offset
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:40.881000|74607564
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:41.895000|74607571
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:42.909000|74607578
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:43.923000|74607585
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:44.936000|74607591
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:45.951000|74607598
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:46.965000|74607605
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:47.979000|74607611
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:48.994000|74607618
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:50.007000|74607625
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:51.021000|74607632
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:52.036000|74607639
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:53.047000|74607649
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:54.066000|74607657
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:55.077000|74607664
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:56.093000|74607671
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:57.095000|74607677
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:58.119000|74607686
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:02:59.138000|74607692
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:00.147000|74607698
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:01.174000|74607704
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:02.176000|74607710
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:03.191000|74607716
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:04.257000|74607722
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:06.231000|74607734
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:07.245000|74607742
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:08.259000|74607748
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:09.273000|74607754
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:10.288000|74607760
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:11.302000|74607767
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:12.317000|74607775
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:13.329000|74607781
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:14.468000|74607787
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:16.373000|74607799
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:17.387000|74607806
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:18.400000|74607812
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:19.414000|74607818
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:20.428000|74607824
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:21.442000|74607830
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:22.456000|74607837
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:23.471000|74607843
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:24.604000|74607849
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:26.513000|74607861
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:27.527000|74607867
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:27.529000|74607868
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:28.541000|74607873
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:29.555000|74607879
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:30.568000|74607885
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:31.583000|74607891
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:32.608000|74607898
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:03:33.611000|74607904
